administrator_director_name,adverse_action,conditions_on_permit,corrective_action,county,days_of_operation,email_address,facility_id,hours_of_operation,issuance_date,licensed_to_serve_ages,location_address,mailing_address,n_assessments,n_defic_high,n_defic_low,n_defic_medium,n_defic_medium_high,n_defic_medium_low,n_inspections,n_reports,n_self_reported_incidents,n_standards,open_branch_offices,open_foster_homes,operation_caregiver_name,operation_number,operation_type,other_schedule_information,phone_number,programmatic_services,temporarily_closed,treatment_services,type_of_issuance,website_address
"Michael D. Murray, MA, LCPAA",No,No,No,SAN SABA,"Mon, Fri",,1084771,09:00 AM-04:00 PM,1/17/2014,-,"3153 COUNTY ROAD 437 CHEROKEE, TX 76832","PO BOX 304 CHEROKEE, TX 76832",1,1,2,5,1,4,4,0,0,3789,0,1,A Better Tomorrow,1492606-8231,Child Placing Agency,,325-622-4044,"Child Care,Transitional Living,Respite Child Care",No,,Full Permit,www.abttexas.org
,No,No,No,DALLAS,,,311934,-,4/14/2008,-,"500 N HAMPTON RD STE A4 DESOTO, TX 75115","500 N HAMPTON RD STE A4 DESOTO, TX 75115",0,0,0,0,0,0,0,0,0,0,0,4,A Place Called Home,869966-4311,Child Placing Agency,,972-325-1653,"Child Care,Respite Child Care",No,Emotional Disorders,Full Permit,
Rebecca Allen,No,-,No,WICHITA,,,1149303,,-,-,"912 BURNETT ST WICHITA FALLS, TX 76301","912 BURNETT ST WICHITA FALLS, TX 76301",0,4,0,0,4,0,5,1,0,3567,-,24,A World For Children,526950-428-15,Child Placing Agency  (Branch),,940-228-5227,,No,,,www.awfc.org
Rebecca Allen,No,-,No,POTTER,,,294758,,-,-,"3416 OLSEN BLVD STE B AMARILLO, TX 79109","3416 OLSEN BLVD STE B AMARILLO, TX 79109",0,3,0,2,1,0,13,6,3,2113,-,19,A World For Children,526950-428-10,Child Placing Agency  (Branch),,806-358-9117,,No,,,
Rebecca Allen,No,-,No,BEXAR,,,265057,,-,-,"1635 NE LOOP 410 STE 501 SAN ANTONIO, TX 78209","1635 NE LOOP 410 STE 501 SAN ANTONIO, TX 78209",0,4,0,2,8,0,45,31,8,2749,-,36,A World for Children,526950-428-6,Child Placing Agency  (Branch),,210-249-0770,,No,,,www.awfc.org
Rebecca Allen,No,-,No,NUECES,,,240396,,-,-,"5541 BEAR LN STE 230 CORPUS CHRISTI, TX 78405","5541 BEAR LN STE 230 CORPUS CHRISTI, TX 78405",1,5,0,3,5,3,38,10,11,1655,-,30,A World For Children,526950-428-4,Child Placing Agency  (Branch),,361-289-8887,,No,,,
Rebecca Allen,No,-,No,TOM GREEN,,sanangelobackground@awfc.org,911252,,-,-,"2312 COLLEGE HILLS BLVD STE 103 SAN ANGELO, TX 76904","2313 COLLEGE HILLS BLVD STE 103 SAN ANGELO, TX 76904",0,4,0,4,5,0,19,13,0,2388,-,13,A World for Children,526950-428-13,Child Placing Agency  (Branch),,325-942-7571,,No,,,www.awfc.org
Rebecca Allen,No,-,No,VICTORIA,,,457820,,-,-,"5606 N NAVARRO ST STE 107 VICTORIA, TX 77904","5606 N NAVARRO ST STE 108 VICTORIA, TX 77904",0,0,0,1,0,0,6,2,1,1887,-,9,A WORLD FOR CHILDREN,526950-428-12,Child Placing Agency  (Branch),,361-237-3575,,No,,,www.awfc.org
Rebecca Allen,No,-,No,EL PASO,,,262483,,-,-,"1760 AIRWAY BLVD STE 102 EL PASO, TX 79925","1760 AIRWAY BLVD STE 102 EL PASO, TX 79925",2,14,3,3,9,0,67,31,3,2752,-,46,A World for Children,526950-428-5,Child Placing Agency  (Branch),,915-781-3330,,No,,,
Rebecca Allen,No,No,No,WILLIAMSON,,stacksd@awfc.org,149755,-,12/9/1997,-,"1516 E PALM VALLEY BLVD STE 3 ROUND ROCK, TX 78664","1516 E PALM VALLEY BLVD STE 3 ROUND ROCK, TX 78664",0,7,1,1,7,0,67,36,11,2999,12,58,A World for Children,526950-428,Child Placing Agency-Adoption Services,,512-218-4400,"Child Care,Assessment,Transitional Living,Respite Child Care",No,"Emotional Disorders,Mental Retardation,Primary Medical Needs,Pervasive Development Disorder",Full Permit,
