Operation #,Operation/Caregiver Name,Address,City,State,Zip,County,Phone,Type,Status,Issue Date,Capacity,Email Address,Facility ID,Monitoring Frequency
"1492606","A Better Tomorrow","3153 COUNTY ROAD 437 ","CHEROKEE","TX","76832","SAN SABA",325-622-4044,"Child Placing Agency","Full Permit",1/17/2014,-,"","1084771",""
"869966","A Place Called Home","500 N HAMPTON RD STE A4","DESOTO","TX","75115","DALLAS",972-325-1653,"Child Placing Agency","Full Permit",4/14/2008,-,"","311934",""
"526950-428-15","A World For Children","912 BURNETT ST ","WICHITA FALLS","TX","76301","WICHITA",940-228-5227,"Child Placing Agency (Branch)","Branch",-,-,"","1149303",""
"526950-428-10","A World For Children","3416 OLSEN BLVD STE B","AMARILLO","TX","79109","POTTER",806-358-9117,"Child Placing Agency (Branch)","Branch",-,-,"","294758",""
"526950-428-6","A World for Children","1635 NE LOOP 410 STE 501","SAN ANTONIO","TX","78209","BEXAR",210-249-0770,"Child Placing Agency (Branch)","Branch",-,-,"","265057",""
"526950-428-4","A World For Children","5541 BEAR LN STE 230","CORPUS CHRISTI","TX","78405","NUECES",361-289-8887,"Child Placing Agency (Branch)","Branch",-,-,"","240396",""
"526950-428-13","A World for Children","2312 COLLEGE HILLS BLVD STE 103","SAN ANGELO","TX","76904","TOM GREEN",325-942-7571,"Child Placing Agency (Branch)","Branch",-,-,"sanangelobackground@awfc.org","911252",""
"526950-428-12","A WORLD FOR CHILDREN","5606 N NAVARRO ST STE 107","VICTORIA","TX","77904","VICTORIA",361-237-3575,"Child Placing Agency (Branch)","Branch",-,-,"","457820",""
"526950-428-5","A World for Children","1760 AIRWAY BLVD STE 102","EL PASO","TX","79925","EL PASO",915-781-3330,"Child Placing Agency (Branch)","Branch",-,-,"","262483",""
"526950","A World for Children","1516 E PALM VALLEY BLVD STE 3","ROUND ROCK","TX","78664","WILLIAMSON",512-218-4400,"Child Placing Agency","Full Permit",12/9/1997,-,"stacksd@awfc.org","149755",""
"526950-428-9","A World For Children","2323 S VOSS RD STE 510","HOUSTON","TX","77057","HARRIS",713-622-5353,"Child Placing Agency (Branch)","Branch",-,-,"","294002",""
"526950-428-8","A World For Children","1412 W SOUTHWEST LOOP 323 ","TYLER","TX","75701","SMITH",903-581-1553,"Child Placing Agency (Branch)","Branch",-,-,"","279146",""
"526950-428-7","A World For Children","504 CENTER AVE ","BROWNWOOD","TX","76801","BROWN",325-641-1055,"Child Placing Agency (Branch)","Branch",-,-,"","270422",""
"526950-428-2","A World for Children","4600 GREENVILLE AVE STE 160","DALLAS","TX","75206","DALLAS",972-616-0095,"Child Placing Agency (Branch)","Branch",-,-,"","240389",""
