corrected_at_inspection,correction_deadline,correction_verified,date,facility_id,narrative_id,risk_level,source,standard,corrected_on_time
No,2015-01-30 00:00:00,2015-02-04 00:00:00,2015-01-27 00:00:00,1084771,978127046,High,Assessments,745.625(b) - Renewal background checks submitted - No later than two years from the date of your most recently requested initial or renewal background check,False
No,2013-12-04 00:00:00,2013-12-30 00:00:00,2013-11-20 00:00:00,1084771,977790205,Medium Low,Monitoring Inspections,749.1421(b) - Immunization requirements-Maintain current immunizations records for each child in care,False
No,2013-12-04 00:00:00,2013-12-30 00:00:00,2013-11-20 00:00:00,1084771,977754955,Medium,Monitoring Inspections,749.1401(b)(5) - General medical requirements-Child's record includes copy of results of each medical exam,False
No,2013-12-04 00:00:00,2013-12-30 00:00:00,2013-11-20 00:00:00,1084771,977825510,Low,Monitoring Inspections,749.1321(c) - Sharing Initial Service Plan-Document in child's record that a copy or summary of the service plan was provided to his parents,False
No,2013-12-04 00:00:00,2013-12-30 00:00:00,2013-11-20 00:00:00,1084771,977754956,Low,Monitoring Inspections,749.1309(b)(1)(N) - Initial Service Plan-Must include signatures of service planning team members,False
No,2013-11-12 00:00:00,2013-11-12 00:00:00,2013-10-29 00:00:00,1084771,977885044,Medium Low,Monitoring Inspections,749.1133(b) - Admission Assessment-All information required in this subsection must be documented in admission assessment prior to child's non-emergency admission,True
No,2013-11-12 00:00:00,2013-11-19 00:00:00,2013-10-29 00:00:00,1084771,977885043,Medium Low,Monitoring Inspections,"749.2471(3)(B) - Verification-Includes obtaining pictures of outside of foster home showing buildings, fences, storage areas, recreation areas, bodies of water, etc",False
No,2013-11-12 00:00:00,2013-11-12 00:00:00,2013-10-29 00:00:00,1084771,977885042,Medium Low,Monitoring Inspections,"749.2451(b) - Documentation of Interviews-For each interview, must include date and method of contact, date of interview, who was present and summary",True
No,2013-11-12 00:00:00,2013-11-11 00:00:00,2013-10-29 00:00:00,1084771,977885045,Medium High,Monitoring Inspections,"749.2965(b)(1) - Weapons-Foster home record must include documentation on weapons, firearms, explosives, projectiles present in the home",True
No,2013-11-19 00:00:00,2013-11-12 00:00:00,2013-10-29 00:00:00,1084771,978026488,Medium,Monitoring Inspections,749.1307 - Service Planning-Complete the initial service plan within 40 days after child is admitted,True
No,2013-11-12 00:00:00,2013-11-12 00:00:00,2013-10-29 00:00:00,1084771,977955767,Medium,Monitoring Inspections,749.1111(a) - Child Orientation-Provided to child who is 5 years old or older within 7 days of admission and geared to child's intellectual level,True
No,2013-11-12 00:00:00,2013-11-20 00:00:00,2013-10-29 00:00:00,1084771,977920529,Medium,Monitoring Inspections,"749.2471(8) - Verification-Includes obtaining the child placement management staff's review, approval of home screening and recommended verification",False
No,2013-11-12 00:00:00,2013-11-12 00:00:00,2013-10-29 00:00:00,1084771,977885046,Medium,Monitoring Inspections,749.2445(c)(1) - Verification-The foster home screening must document required info in 749.2447,True
No,2014-10-13 00:00:00,2014-10-21 00:00:00,2014-09-22 00:00:00,1149303,977944949,Medium High,Monitoring Inspections,749.3039(e)(1) - Trampoline-May only be used at a foster home if only one child is on the trampoline at a time,False
No,2014-09-29 00:00:00,2014-10-21 00:00:00,2014-09-22 00:00:00,1149303,977909702,Medium High,Monitoring Inspections,"749.3041(7) - Physical Environment-Foster home must ensure that flammable or poisonous substances are stored out of reach of children, as needed",False
No,2014-09-29 00:00:00,2014-10-21 00:00:00,2014-09-22 00:00:00,1149303,977873897,High,Monitoring Inspections,749.1521(4) - Medication Storage-Store medication covered by Schedule II of the Texas Controlled Substances Act under double lock in a separate container,False
No,2014-10-21 00:00:00,2014-10-21 00:00:00,2014-09-13 00:00:00,1149303,978113312,Medium High,Reports,"749.2551(a) - Capacity-Two-parent foster family home may care for up to six children, including all children living in home or receiving respite or day care",True
No,2014-10-21 00:00:00,2014-10-21 00:00:00,2014-09-13 00:00:00,1149303,978113320,Medium High,Reports,749.3039(e)(1) - Trampoline-May only be used at a foster home if only one child is on the trampoline at a time,True
No,2014-10-21 00:00:00,2014-10-21 00:00:00,2014-09-13 00:00:00,1149303,978113317,High,Reports,"749.2961(a)(1)(A) - Weapons-If weapons/explosives/projectiles allowed, must ensure locked storage for weapons and ammunition",True
No,2014-10-21 00:00:00,2014-10-21 00:00:00,2014-09-13 00:00:00,1149303,978113314,High,Reports,"749.1953(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",True
No,2014-10-21 00:00:00,2014-10-21 00:00:00,2014-09-13 00:00:00,1149303,978113318,High,Reports,749.1463(b)(5) - Administration of Medication-Ensure the child has taken the medication as prescribed,True
No,2014-11-20 00:00:00,2014-11-11 00:00:00,2014-11-06 00:00:00,294758,977805367,Medium,Monitoring Inspections,749.931(a)(5) - Annual Training-Child placement management staff-20 hrs; include 2 hours on transportation safety if applicable; retrain on EBI as needed,True
No,2014-09-04 00:00:00,2014-10-10 00:00:00,2014-07-14 00:00:00,294758,978061851,Medium,Self Reported Incidents,749.1951(b)(5) - Disciplinary Measures-Must be appropriate to the incident & severity of the behavior demonstrated,False
No,2014-09-04 00:00:00,2014-10-01 00:00:00,2014-07-14 00:00:00,294758,978061849,High,Self Reported Incidents,"749.1953(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",False
Yes,2013-11-19 00:00:00,,2013-11-19 00:00:00,294758,977893680,High,Monitoring Inspections,"749.983 - First-aid-CPR renewal-Each caregiver must complete any new first-aid training or CPR training, as required to maintain a current certification",True
No,2013-08-20 00:00:00,2013-08-20 00:00:00,2013-06-20 00:00:00,294758,978061843,Medium High,Reports,"749.1957(8) - Other Prohibited Discipline-Humiliating, shaming, ridiculing, rejecting, or yelling at a child",True
No,2013-08-20 00:00:00,2013-08-20 00:00:00,2013-06-20 00:00:00,294758,978061841,High,Reports,"749.1953(a) - Corporal Punishment-May not use/threaten corporal punishment, such as hitting/spanking, forced exercise, holding physical position, unproductive work.",True
No,2014-12-12 00:00:00,2014-12-15 00:00:00,2014-11-25 00:00:00,265057,977774182,Medium High,Monitoring Inspections,"749.3041(1) - Physical Environment-Foster home must ensure that home is safe for children, kept clean, and in good repair",False
No,2014-12-24 00:00:00,2014-12-15 00:00:00,2014-11-24 00:00:00,265057,978070455,Medium High,Reports,"749.1541(a) - Medication Record-Maintain cumulative record of prescription medications dispensed to child, include nonprescription meds for child under five yrs old",True
No,2014-12-05 00:00:00,2014-12-11 00:00:00,2014-10-23 00:00:00,265057,978070447,High,Reports,"749.607(1) - Employee and caregiver responsibilities-Competency, prudent judgment, self-control in presence of children and when performing assigned tasks",False
No,2014-05-12 00:00:00,2014-07-24 00:00:00,2014-04-21 00:00:00,265057,977900393,Medium High,Monitoring Inspections,"749.3041(7) - Physical Environment-Foster home must ensure that flammable or poisonous substances are stored out of reach of children, as needed",False
No,2014-05-12 00:00:00,2014-07-24 00:00:00,2014-04-21 00:00:00,265057,977830209,Medium High,Monitoring Inspections,749.3041(5) - Physical Environment-Foster home must ensure that outdoor areas are well drained,False
No,2013-12-27 00:00:00,2014-01-06 00:00:00,2013-11-06 00:00:00,265057,978070393,High,Reports,"745.615(a)(7) - Required background checks - Persons 14 years or older, other than clients, who will regularly or frequently be present while children are in care ",False
No,2013-11-04 00:00:00,2013-11-04 00:00:00,2013-10-21 00:00:00,265057,977791796,Medium,Monitoring Inspections,749.1401(b)(5) - General medical requirements-Child's record includes copy of results of each medical exam,True
No,2013-06-21 00:00:00,2013-07-23 00:00:00,2013-06-12 00:00:00,265057,977783850,Medium High,Monitoring Inspections,"749.3041(4) - Physical Environment-Foster home must ensure that outdoor areas are safe for children, kept clean, and in good repair",False
No,2013-07-15 00:00:00,2013-09-26 00:00:00,2013-05-24 00:00:00,265057,978070379,Medium High,Reports,749.1957(9) - Other Prohibited Discipline-Subjecting a child to abusive or profane language,False
No,2013-07-15 00:00:00,2013-09-26 00:00:00,2013-05-24 00:00:00,265057,978070380,High,Reports,"749.1957(7) - Other Prohibited Discipline-Putting anything in or on a child's mouth, such as soap or tape",False
No,2013-06-24 00:00:00,2013-06-24 00:00:00,2013-04-23 00:00:00,265057,978070371,Medium,Reports,749.1951(a) - Disciplinary Measures-Only a caregiver known to & knowledgeable of the child may discipline the child,True
No,2013-06-24 00:00:00,2013-06-24 00:00:00,2013-04-23 00:00:00,265057,978070372,High,Reports,"749.2593(a)(3) - Supervision-The caregiver is responsible for ensuring each child's safety and well being, including auditory and/or visual awareness of the child",True
No,2013-06-07 00:00:00,2013-08-12 00:00:00,2013-04-09 00:00:00,265057,978070365,Medium High,Reports,749.2593(c)(6) - Supervision-Caregivers counted in child/caregiver ratio must implement and follow the children's service plans,False
No,2013-03-26 00:00:00,2013-04-08 00:00:00,2013-03-05 00:00:00,265057,977992048,Medium High,Monitoring Inspections,749.3079(3) - Food Storage-food items must be protected from contamination,False
No,2014-11-24 00:00:00,2014-12-01 00:00:00,2014-11-14 00:00:00,240396,977977917,Medium Low,Monitoring Inspections,"749.1417(b) - TB exam-Documentation of baseline test or chest xray results in person's record w/in 40 days of beginning to live, work, volunteer at operation",False
No,2014-11-24 00:00:00,2014-12-01 00:00:00,2014-11-14 00:00:00,240396,977977918,Medium,Monitoring Inspections,749.1401(b) - Medical care-The child's record must include a written record of each medical examination,False
Yes,2014-11-21 00:00:00,,2014-10-31 00:00:00,240396,978054652,High,Reports,745.626(a) - Background check results - Must receive DPS and Central Registry prior to allowing unsupervised contact or direct access to children in care ,True
No,2014-11-05 00:00:00,2014-11-06 00:00:00,2014-09-11 00:00:00,240396,978054647,Medium High,Self Reported Incidents,749.2593(c)(6) - Supervision-Caregivers counted in child/caregiver ratio must implement and follow the children's service plans,False
No,2014-11-05 00:00:00,2014-11-06 00:00:00,2014-09-11 00:00:00,240396,978054650,Medium,Self Reported Incidents,749.503(b) - Serious Incident-Foster parents must report serious incident directly to Child Abuse Hotline if incident involves child in care,False
No,2014-07-17 00:00:00,2014-07-24 00:00:00,2014-05-19 00:00:00,240396,978054630,Medium High,Reports,"749.1957(8) - Other Prohibited Discipline-Humiliating, shaming, ridiculing, rejecting, or yelling at a child",False
No,2014-06-20 00:00:00,2014-06-18 00:00:00,2014-05-08 00:00:00,240396,978054625,Medium Low,Self Reported Incidents,749.3023(c)(1) - Bedrooms-foster children or any other household members may not use a room commonly used for other purposes as a bedroom,True
No,2014-06-20 00:00:00,2014-06-18 00:00:00,2014-05-08 00:00:00,240396,978054626,Medium High,Self Reported Incidents,749.2151(b) - EBI Implementation-The caregiver must act to protect the child's safety,True
No,2014-06-20 00:00:00,2014-06-18 00:00:00,2014-05-08 00:00:00,240396,978054628,Medium,Self Reported Incidents,"749.1335(2) - Service Plan Review and Update-To review and update a service plan, identify child's new needs and strategies or techniques to meet these needs",True
No,2014-06-20 00:00:00,2014-06-18 00:00:00,2014-05-08 00:00:00,240396,978054627,High,Self Reported Incidents,749.1957(15) - Other Prohibited Discipline-Using or threatening to use emergency behavior intervention as discipline or punishment,True
No,2013-11-15 00:00:00,2013-11-14 00:00:00,2013-09-20 00:00:00,240396,978054608,Medium Low,Reports,749.3023(c)(1) - Bedrooms-foster children or any other household members may not use a room commonly used for other purposes as a bedroom,True
No,2013-11-04 00:00:00,2014-04-15 00:00:00,2013-09-11 00:00:00,240396,978054601,Medium High,Reports,"749.1115(b) - Information to provide caregivers-By child's admission, inform caregivers of any special needs, such as medical or dietary needs or conditions",False
No,2013-10-11 00:00:00,2013-10-10 00:00:00,2013-08-21 00:00:00,240396,978054596,High,Reports,"745.615(b)(1)(B) - Required FBI background check - any person acting as a caregiver for foster children in the foster home, including a substitute employee",True
No,2013-10-11 00:00:00,2013-10-10 00:00:00,2013-08-21 00:00:00,240396,978054595,High,Reports,745.625(7) - Background checks submitted - Every 24 months after each person's background check was first submitted,True
No,2013-10-11 00:00:00,2013-10-10 00:00:00,2013-08-21 00:00:00,240396,978054594,High,Reports,749.2593(a)(5) - Supervision-The caregiver is responsible for not performing tasks that clearly impede the caregiver's ability to supervise and interact with children,True
No,2013-08-27 00:00:00,2013-09-04 00:00:00,2013-08-19 00:00:00,240396,978125517,Medium High,Assessments,"749.3041(1) - Physical Environment-Foster home must ensure that home is safe for children, kept clean, and in good repair",False
No,2015-01-28 00:00:00,2015-01-14 00:00:00,2015-01-14 00:00:00,911252,977912539,Medium High,Monitoring Inspections,749.1151(a) - Medical Requirements-Ensure child has a medical exam 30 days after the date of admission or documented exam within last year,True
No,2015-01-28 00:00:00,2015-01-14 00:00:00,2015-01-14 00:00:00,911252,977807093,Medium High,Monitoring Inspections,"749.577(2) - Active child record-Includes known allergies and chronic conditions or ""no known allergies"" on exterior of record or in a clearly visible location",True
No,2015-01-28 00:00:00,2015-01-28 00:00:00,2015-01-14 00:00:00,911252,977876807,Medium,Monitoring Inspections,749.1301(a) - Preliminary Service Planning-Complete a preliminary service plan that addresses child's immediate needs within 72 hours of admission,True
No,2015-01-28 00:00:00,2015-01-28 00:00:00,2015-01-14 00:00:00,911252,977807092,Medium,Monitoring Inspections,"749.1133(a) - Admission Assessment-Must provide an initial evaluation of appropriate placement for a child, and obtain information to facilitate service planning",True
No,2015-01-28 00:00:00,2015-01-28 00:00:00,2015-01-14 00:00:00,911252,977771772,Medium,Monitoring Inspections,"749.1417(a) - TB exam-Persons over 1 yr old who live, work, volunteer at operation have exam w/in 30 days, unless person had previous exam that meets requirements",True
No,2013-07-09 00:00:00,2013-07-02 00:00:00,2013-06-07 00:00:00,911252,978112948,Medium High,Reports,749.1003(b)(5)(C) - Children's rights-Adhere to the child's rights to be free from being threatened with corporal punishment,True
No,2013-05-16 00:00:00,2013-05-24 00:00:00,2013-05-16 00:00:00,911252,977923129,High,Monitoring Inspections,749.1521(1) - Medication Storage-Store medication in a locked container,False
No,2013-05-16 00:00:00,2013-05-16 00:00:00,2013-05-13 00:00:00,911252,977749067,High,Monitoring Inspections,749.1521(1) - Medication Storage-Store medication in a locked container,True
No,2013-06-21 00:00:00,2013-07-08 00:00:00,2013-05-10 00:00:00,911252,978112943,Medium High,Reports,749.1521(3) - Medication Storage-Ensure storage area has a separate container in which ,False
No,2013-06-21 00:00:00,2013-07-08 00:00:00,2013-05-10 00:00:00,911252,978112942,Medium High,Reports,749.1501(3) - Medication Self-Administration-Must consult health-care professional who prescribed medication and document his/her concerns in child's record,False
No,2013-06-21 00:00:00,2013-07-08 00:00:00,2013-05-10 00:00:00,911252,978112941,High,Reports,749.1463(b)(10) - Administration of Medication-Must not borrow or administer prescription medication to a child that is prescribed to another person,False
Yes,2013-04-11 00:00:00,,2013-04-11 00:00:00,911252,977997332,Medium,Monitoring Inspections,"749.1541(b)(3) - Medication Record-Must include reason medication was prescribed, for prescription medication",True
No,2013-04-15 00:00:00,2013-04-08 00:00:00,2013-03-04 00:00:00,911252,978112928,High,Reports,745.625(7) - Background checks submitted - Every 24 months after each person's background check was first submitted,True
No,2014-08-14 00:00:00,2014-08-07 00:00:00,2014-07-31 00:00:00,457820,977875752,Medium,Monitoring Inspections,"749.2815(c) - Supervisory Visits-Document rules evaluated, deficiencies, compliance plans; document change to home study info, incl. reason for verification change",True
No,2015-01-13 00:00:00,2015-01-12 00:00:00,2015-01-06 00:00:00,262483,977912444,Medium,Monitoring Inspections,749.1111(a) - Child Orientation-Provided to child who is 5 years old or older within 7 days of admission and geared to child's intellectual level,True
